artifact,error,ext_egress_acc,ext_fn_groups,ext_fp_groups,ext_frame_count_error,ext_glass_acc,ext_group_f1,ext_group_precision,ext_group_recall,ext_gt_units_total,ext_hallucination_rate,ext_matched_groups,ext_miss_rate,ext_pred_units_total,ext_qty_mae,ext_ufactor_acc,ext_unit_count_error,model,n_groups,n_units,ofr_egress_acc,ofr_fn_groups,ofr_fp_groups,ofr_frame_count_error,ofr_glass_acc,ofr_group_f1,ofr_group_precision,ofr_group_recall,ofr_gt_units_total,ofr_hallucination_rate,ofr_matched_groups,ofr_miss_rate,ofr_pred_units_total,ofr_qty_mae,ofr_ufactor_acc,ofr_unit_count_error,project,status,variant
runs/variant_b/745_E_fallback_B/gemini-3.1-pro-preview/units.jsonl,,,6,16,,,0.0,0.0,0.0,24,1.0,0,1.0,54,,,1.25,gemini:gemini-3.1-pro-preview,13,54,,6,16,,,0.0,0.0,0.0,24,1.0,0,1.0,54,,,1.25,745,ok,E
runs/variant_b/745_E_fallback_B/claude-opus-4-7/units.jsonl,empty units.jsonl (provider returned nothing or invalid JSON each call),,,,,,,,,,,,,,,,,anthropic:claude-opus-4-7,,0,,,,,,,,,,,,,,,,,745,empty,E
runs/variant_b/OFR_E_fallback_B/gemini-3.1-pro-preview/units.jsonl,,,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,24,30,0.0,8,17,,0.0,0.2857142857142857,0.22727272727272727,0.38461538461538464,230,0.7727272727272727,5,0.6153846153846154,30,12.0,0.0,0.8695652173913043,OFR,ok,E
runs/variant_b/OFR_E_fallback_B/claude-opus-4-7/units.jsonl,empty units.jsonl (provider returned nothing or invalid JSON each call),,,,,,,,,,,,,,,,,anthropic:claude-opus-4-7,,0,,,,,,,,,,,,,,,,,OFR,empty,E
runs/variant_a/745/gemini-3.1-pro-preview/units.jsonl,,,5,19,,,0.07692307692307691,0.05,0.16666666666666666,24,0.95,1,0.8333333333333334,60,2.0,,1.5,gemini:gemini-3.1-pro-preview,16,60,,5,19,,,0.07692307692307691,0.05,0.16666666666666666,24,0.95,1,0.8333333333333334,60,2.0,,1.5,745,ok,A
runs/variant_a/745/claude-opus-4-7/units.jsonl,empty units.jsonl (provider returned nothing or invalid JSON each call),,,,,,,,,,,,,,,,,anthropic:claude-opus-4-7,,0,,,,,,,,,,,,,,,,,745,empty,A
runs/variant_a/OFR/gemini-3.1-pro-preview/units.jsonl,,,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,15,230,1.0,4,6,,1.0,0.6428571428571429,0.6,0.6923076923076923,230,0.4,9,0.3076923076923077,230,4.444444444444445,1.0,0.0,OFR,ok,A
runs/variant_a/OFR/claude-opus-4-7/units.jsonl,empty units.jsonl (provider returned nothing or invalid JSON each call),,,,,,,,,,,,,,,,,anthropic:claude-opus-4-7,,0,,,,,,,,,,,,,,,,,OFR,empty,A
runs/variant_c/745/gemini-3.1-pro-preview/units.jsonl,no artifact (cell not started or killed before save),,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,,,,,,,,,,,,,,,,,,,745,skipped,C
runs/variant_c/745/claude-opus-4-7/units.jsonl,no artifact (cell not started or killed before save),,,,,,,,,,,,,,,,,anthropic:claude-opus-4-7,,,,,,,,,,,,,,,,,,,745,skipped,C
runs/variant_c/OFR/gemini-3.1-pro-preview/units.jsonl,no artifact (cell not started or killed before save),,,,,,,,,,,,,,,,,gemini:gemini-3.1-pro-preview,,,,,,,,,,,,,,,,,,,OFR,skipped,C
runs/variant_c/OFR/claude-opus-4-7/units.jsonl,no artifact (cell not started or killed before save),,,,,,,,,,,,,,,,,anthropic:claude-opus-4-7,,,,,,,,,,,,,,,,,,,OFR,skipped,C
